party_id,country,party,comments
50,Austria,FPÖ,
2150,Austria,TS,
1536,Austria,BZÖ,
669,Austria,Martin,
993,Belgium,VB,
256,Belgium,PVDA/PTB,
221,Belgium,LDD,
171,Belgium,FN,
535,Bulgaria,Ataka,
1541,Bulgaria,GERB,
2362,Bulgaria,BBZ/BBT,
2212,Bulgaria,IMRO,
2211,Bulgaria,NFSB,
636,Bulgaria,RZS,
544,Bulgaria,NDSV,
2182,Croatia,HL-SR/CL-LP,
1044,Croatia,HSP,
2135,Croatia,HDSSB,until 2015
2612,Croatia,Zivi Zid,
2615,Croatia,MOST,
572,Cyprus,AKEL,
1768,Cyprus,ELAM,
2341,Cyprus,SYM / SYPOL,
2263,Czech Republic,ANO,
2262,Czech Republic,Dawn,
2654,Czech Republic,SPD,
1173,Czech Republic,KSCM,
363,Czech Republic,SSO,
336,Czech Republic,VV,
1613,Czech Republic,S-JB,
872,Czech Republic,SPR-RSC,
1418,Denmark,DF,
306,Denmark,En-O,
1644,Denmark,SF,
978,Denmark,FrP,
428,Estonia,ERP,
417,Estonia,EKRE,since 2012
200,Finland,Ps,
1292,Finland,VAS,
2645,Finland,SIN,
270,France,FN,
686,France,PCF/FdG,
2644,France,FI,
791,Germany,Linke,
2253,Germany,AfD,
1592,Greece,SYRIZA,
2091,Greece,ANEL,
2092,Greece,Golden Dawn,
614,Greece,KKE,
1179,Greece,LAOS,
1441,Greece,SYN,
720,Greece,DIKKI,
437,Hungary,FIDESZ,since 2002
921,Hungary,FIDESZ,since 2002
600,Hungary,Jobbik,
95,Hungary,MIÉP,
1202,Hungary,MMP,
2217,Ireland,SF,
1014,Ireland,SP,
596,Italy,PdL,
1436,Italy,LN,
2155,Italy,M5S,
465,Italy,SEL,
2154,Italy,FdI,
2157,Italy,RC,
1661,Italy,PdCI,
176,Italy,MSFT,
1321,Italy,PRC,
1518,Latvia,JL,
1942,Latvia,ZRP,
1421,Lithuania,TT,
1502,Lithuania,TPP,
2121,Lithuania,DK,
581,Lithuania,DP,in 2004
2635,Lithuania,LCP,since 2016
1056,Lithuania,SPF / Fronto,
1582,Luxembourg,ADR,
457,Luxembourg,Dei Lenk,
1501,Netherlands,PVV,
357,Netherlands,SP,
990,Netherlands,PvdD,
1251,Netherlands,SGP,
456,Netherlands,LPF,
2109,Netherlands,50PLUS,
528,Poland,PiS,since 2005
2600,Poland,Kukiz '15,
987,Poland,LPR,
2602,Poland,Liberty,
2625,Poland,Razem,
207,Poland,SRP,
557,Portugal,BE,
1295,Portugal,CDU (PEV & PCP),
713,Romania,PRM,
2648,Romania,PRU,
2130,Romania,PPDD,
220,Slovakia,Smer,until 2006
1200,Slovakia,ANO,
1072,Slovakia,SNS,
586,Slovakia,L'SNS,
1759,Slovakia,OLaNO,
44,Slovakia,KSS,
2623,Slovakia,SR,
1460,Slovakia,SaS,
20,Slovakia,PSNS,
2334,Slovenia,ZdLe / L,
981,Slovenia,SNS,
2668,Slovenia,LMS,
2376,Spain,Podemos,
118,Spain,IU,
2380,Spain,Vox,
1546,Sweden,SD,
882,Sweden,V,
1272,United Kingdom,UKIP,
773,United Kingdom,Con,
319,United Kingdom,DUP,